,Noun,Count
1361,department,102
1362,structure,25
1363,creek,9
1364,writing,161
1365,timing,20
1366,present,136
1367,workout,104
1368,ball,84
1369,decoration,94
1370,cork,7
1371,screw,19
1372,rubber,37
1373,chicken,374
1374,approach,74
1375,equipment,204
1376,outlet,50
1377,purpose,91
1378,effect,61
1379,beer,709
1380,implication,2
1381,folder,8
1382,habit,13
1383,exaggeration,18
1384,cart,184
1385,donut,6
1386,dough,12
1387,darkness,18
1388,massage,430
1389,shoulder,22
1390,bin,22
1391,swimsuit,8
1392,toothpaste,37
1393,toothbrush,41
1394,jail,9
1395,bitter,15
1396,village,190
1397,campus,25
1398,lay,158
1399,rust,18
1400,feather,30
1401,midnight,197
1402,blueberry,11
1403,scrambled,114
1404,sausage,103
1405,fate,4
1406,premier,79
1407,consensus,7
1408,van,184
1409,crisp,71
1410,zoo,109
1411,waffle,24
1412,bread,400
1413,correspondence,5
1414,niece,33
1415,mess,88
1416,maintenance,199
1417,act,87
1418,limb,6
1419,student,35
1420,signal,28
1421,environment,100
1422,stress,90
1423,staircase,47
1424,piece,188
1425,dam,209
1426,scale,60
1427,efficiency,41
1428,slope,11
1429,cement,18
1430,spine,2
1431,buying,104
1432,sandpaper,3
1433,fabric,22
1434,washer,36
1435,indication,18
1436,god,154
1437,layout,135
1438,vintage,36
1439,creative,31
1440,aspect,122
1441,sale,38
1442,buck,68
1443,pasta,270
1444,fork,23
1445,equal,39
1446,country,704
1447,image,20
1448,crust,9
1449,treatment,190
1450,implement,3
1451,egg,96
1452,drapes,48
1453,pond,45
1454,winery,4
1455,hike,74
1456,dial,38
1457,safety,144
1458,weird,117
1459,velvet,11
1460,armoire,20
1461,cookie,37
1462,cloth,46
1463,pair,55
1464,waitress,141
1465,grade,38
1466,cluster,9
1467,chime,6
1468,stock,76
1469,colony,9
1470,bird,48
1471,excitement,28
1472,sick,775
1473,permit,10
1474,shock,59
1475,steam,110
1476,lap,46
1477,respect,146
1478,pounding,26
1479,amazement,7
1480,potato,40
1481,heartbeat,128
1482,input,5
1483,seafood,498
1484,princess,407
1485,pea,3
1486,tank,33
1487,brochure,71
1488,architect,5
1489,jack,50
1490,platinum,112
1491,training,87
1492,reputation,76
1493,sage,11
1494,encouragement,4
1495,desire,60
1496,haircut,6
1497,presentation,116
1498,salon,34
1499,pimp,2
1500,hops,21
1501,contrary,63
1502,belief,20
1503,celebration,57
1504,kid,127
1505,refuse,36
1506,cat,64
1507,marketing,14
1508,candy,83
1509,fries,174
1510,bend,24
1511,death,33
1512,ham,117
1513,nightclub,69
1514,dance,261
1515,dream,138
1516,rod,23
1517,metaphor,3
1518,label,15
1519,homeland,4
1520,moody,6
1521,choosing,82
1522,pendant,4
1523,jump,94
1524,honor,56
1525,usage,28
1526,shoe,41
1527,sunglasses,24
1528,territory,12
1529,stereo,38
1530,zen,9
1531,waterfall,63
1532,loss,38
1533,vanilla,28
1534,earth,65
1535,education,9
1536,till,282
1537,meantime,19
1538,id,66
1539,incident,82
1540,designer,78
1541,mainstream,6
1542,hint,51
1543,max,86
1544,factor,97
1545,climate,57
1546,crash,36
1547,sushi,154
1548,spiritual,3
1549,bowl,84
1550,slip,32
1551,ruin,95
1552,extreme,43
1553,daddy,4
1554,artist,22
1555,finger,27
1556,twist,18
1557,wrap,50
1558,mate,57
1559,pink,76
1560,lightning,12
1561,wasting,26
1562,whack,4
1563,target,31
1564,meaning,81
1565,speaker,24
1566,drawer,55
1567,underwear,11
1568,bat,20
1569,address,100
1570,exhaust,19
1571,rain,445
1572,housing,14
1573,wound,17
1574,alarm,143
1575,recall,41
1576,hash,16
1577,lover,39
1578,verdict,4
1579,enjoyment,42
1580,angle,16
1581,hiccups,8
1582,patient,94
1583,split,65
1584,geometry,1
1585,standing,169
1586,emerald,11
1587,kitten,1
1588,tech,29
